risk_score,avg_monthly_cost_per_tenure,monthly_to_total_ratio,charges_per_service,tenure_log,tenure,tenure_squared,tenure_cube,tenure_total_extra_services_interaction,Contract_Two year,InternetService_Fiber optic,estimated_clv,tenure_monthly_charges_interaction,MonthlyCharges_cube,MonthlyCharges_total_extra_services_interaction,PaymentMethod_Electronic check,MonthlyCharges,TotalCharges_cube,MonthlyCharges_squared,is_loyal_customer,TotalCharges,TotalCharges_squared,is_new_customer,TechSupport_No internet service,DeviceProtection_No internet service,OnlineBackup_No internet service,service_adoption_rate,StreamingTV_No internet service,InternetService_No,StreamingMovies_No internet service,OnlineSecurity_No internet service,total_extra_services,above_avg_charges,Contract_One year,OnlineSecurity_Yes,household_type,Dependents_Yes,PaperlessBilling_Yes,risky_payment_high_charge,premium_service_user,Churn
29.849970150029854,29.849970150029854,0.9999999664991636,14.925,0.6931471805599453,1,1,1,1,0,0,29.85,29.85,26597.021625000005,29.85,1,29.85,26597.021625000005,891.0225,0,29.85,891.0225,1,0,0,0,0.16666666666666666,0,0,0,0,1,0,0,0,2,0,1,0,0,0
1.6749999507352957,1.6749999507352957,0.030140248727102276,18.983333333333334,3.5553480614894135,34,1156,39304,68,0,0,1936.3000000000002,1936.3000000000002,184706.07737500002,113.9,0,56.95,6745912267.375,3243.3025000000002,0,1889.5,3570210.25,0,0,0,0,0.3333333333333333,0,0,0,0,2,0,1,1,0,0,0,0,0,0
26.92498653750673,26.92498653750673,0.49791955156801154,17.95,1.0986122886681096,2,4,8,4,0,0,107.7,107.7,156155.441625,107.7,0,53.85,1264968.0933750002,2899.8225,0,108.15,11696.4225,1,0,0,0,0.3333333333333333,0,0,0,0,2,0,0,1,0,0,1,0,0,1
0.9399999791111115,0.9399999791111115,0.022979763670797355,10.575,3.828641396489095,45,2025,91125,135,0,0,1903.4999999999998,1903.4999999999998,75686.96699999999,126.89999999999999,0,42.3,6237124705.421875,1789.2899999999997,0,1840.75,3388360.5625,0,0,0,0,0.5,0,0,0,0,3,0,1,1,0,0,0,0,0,0
35.34998232500884,35.34998232500884,0.46620507440682446,70.7,1.0986122886681096,2,4,8,0,0,1,141.4,141.4,353393.243,0.0,1,70.7,3487604.6171250003,4998.490000000001,0,151.65,22997.722500000003,1,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
12.456248442968947,12.456248442968947,0.121450335013467,24.9125,2.1972245773362196,8,64,512,24,0,1,797.2,797.2,989536.7071250002,298.95000000000005,1,99.65,552377215.125,9930.122500000001,0,820.5,673220.25,0,0,0,0,0.5,0,0,0,0,3,1,0,0,0,0,1,1,0,1
4.049999815909099,4.049999815909099,0.045706371167689344,29.7,3.1354942159291497,22,484,10648,44,0,1,1960.1999999999998,1960.1999999999998,707347.9709999999,178.2,0,89.1,7408032605.784001,7938.809999999999,0,1949.4,3800160.3600000003,0,0,0,0,0.3333333333333333,0,0,0,0,2,1,0,0,1,1,1,0,0,0
2.97499970250003,2.97499970250003,0.09854256343642742,14.875,2.3978952727983707,10,100,1000,10,0,0,297.5,297.5,26330.609375,29.75,0,29.75,27516255.858999994,885.0625,0,301.9,91143.60999999999,0,0,0,0,0.16666666666666666,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3.742857009183678,3.742857009183678,0.03440521329774455,20.96,3.367295829986474,28,784,21952,112,0,1,2934.4,2934.4,1151022.592,419.2,1,104.8,28262533076.24513,10983.039999999999,0,3046.05,9278420.602500001,0,0,0,0,0.6666666666666666,0,0,0,0,4,1,0,0,2,0,1,1,1,1
0.9056451466831428,0.9056451466831428,0.016098281220746205,18.716666666666665,4.143134726391533,62,3844,238328,124,0,0,3481.2999999999997,3481.2999999999997,177030.98337499998,112.3,0,56.15,42433685376.55987,3152.8224999999998,1,3487.95,12165795.202499999,0,0,0,0,0.3333333333333333,0,0,0,0,2,0,1,1,1,1,0,0,0,0
